"cluster.number","Lat","Long","MM","YY","UpAge","LoAge","Ex","Pf","PfPR2.10","Method","EVI","Temperature","Precipitation","Population","ITN","NTL","Urban.Rural","utm_x","utm_y"
41,-3.177725,37.560375,9,2015,4.5,0.5,10,0,0,"RDT",0.45,17.55,1766.37,0.65,43.66,0,"R",1007.21662934982,9647.64154025549
42,-3.15029,37.634027,9,2015,4.92,1.17,11,0,0,"RDT",0.29,27.78,813.45,3.98,43.05,0,"R",1015.43977424511,9650.64738212701
43,-3.005652,37.559341,9,2015,4.92,1,12,0,0,"RDT",0.35,22.93,987.15,7.72,40.61,1.74,"U",1007.18344749625,9666.72227399257
44,-3.158365,37.633216,9,2015,4.92,0.83,14,0,0,"RDT",0.28,27.78,813.45,3.09,43.05,0,"R",1015.34537657646,9649.75229941465
45,-3.76192,37.670472,9,2015,4.75,0.5,10,0,0,"RDT",0.41,26.15,1075.66,1.41,51.17,0,"R",1019.16841846106,9582.7981475484
46,-4.258557,37.973887,10,2015,4,1,7,0,0,"RDT",0.48,18.72,1498.76,1.44,52.63,0,"R",1052.6427373044,9527.50813777871
47,-4.29655,38.024326,10,2015,4.17,1.17,7,0,0,"RDT",0.39,25.36,1242.54,6.65,52.16,0.65,"U",1058.23357564153,9523.25591223411
48,-4.320998,37.857441,10,2015,3.92,1.42,3,0,0,"RDT",0.3,25.17,560.84,0.36,53.44,0,"R",1039.62921854615,9520.66421306438
49,-4.083534,37.736866,10,2015,4.33,0.5,12,0,0,"RDT",0.19,25.45,837.09,4.81,52.79,0.43,"U",1026.36324080986,9547.08702341831
50,-3.27332,37.533819,8,2015,4.33,0.92,6,0,0,"RDT",0.43,20.55,2030.88,10.45,42.84,6.37,"R",1004.20950947439,9637.05495369793
51,-3.381729,37.538472,8,2015,4.75,0.5,12,0,0,"RDT",0.33,29.12,832.87,7.31,44.86,6.54,"R",1004.67267216203,9625.0320577534
52,-3.319347,37.383764,8,2015,4,0.58,8,0,0,"RDT",0.32,23.92,1446.75,4.77,42.27,7.1,"R",987.466092502884,9632.02694235087
53,-3.460238,37.360586,8,2015,4.67,0.5,9,0,0,"RDT",0.17,28.39,782.03,1.32,46.45,0,"R",984.813321828282,9616.41994206511
54,-3.292164,37.310141,8,2015,4.42,1.25,10,0,0,"RDT",0.39,23.05,1759.83,5.21,44.3,6.43,"R",979.276848707362,9635.07620557182
55,-3.225269,37.252822,9,2015,3.92,0.42,4,0,0,"RDT",0.35,20.3,1915.41,5.13,43.77,5.5,"R",972.922656103898,9642.51822801603
56,-3.256668,37.158339,9,2015,4.33,1.75,3,0,0,"RDT",0.29,25.94,1384.14,4.09,44.25,5.2,"R",962.382948849082,9639.08196667818
57,-3.22771,37.236585,9,2015,4.42,0.58,10,0,0,"RDT",0.42,20.3,1915.41,5.23,44.01,6.3,"R",971.112635643671,9642.25522980038
58,-3.35369,37.353005,8,2015,4.75,1.92,5,0,0,"RDT",0.18,29.65,1398.05,99.79,35.66,14.34,"U",984.0222674744,9628.23505715175
