"cluster.number","Lat","Long","MM","YY","UpAge","LoAge","Ex","Pf","PfPR2.10","Method","EVI","Temperature","Precipitation","Population","ITN","NTL","Urban.Rural","utm_x","utm_y"
200,-10.892601,37.445228,12,2015,3.42,1,6,1,17.29,"RDT",0.3,29.96,829.58,2.31,65.03,0,"R",986.244933405142,8792.32595862024
201,-11.441465,37.355138,12,2015,4.75,0.67,12,8,68.98,"RDT",0.36,30.6,866.32,0.16,63.13,0,"R",975.474833134862,8731.61709065147
202,-11.170356,37.116584,12,2015,4.42,0.92,9,6,68.57,"RDT",0.35,27.71,1019.12,0.11,63.85,0,"R",949.811727179753,8762.04967736965
203,-10.686862,37.028005,12,2015,4.17,0.42,8,4,53.62,"RDT",0.32,29.09,926.44,0.12,65.02,0,"R",940.833200966344,8815.76695584601
204,-11.036864,37.325021,12,2015,4.83,0.5,9,1,11.6,"RDT",0.25,28.48,841.57,36.7,64.18,8.64,"U",972.842201256225,8776.52312959014
205,-10.786543,35.593654,12,2015,4.92,0.5,14,3,22.38,"RDT",0.33,24.73,1034.44,0.32,64.7,0,"R",783.6333388438,8806.42037579035
215,-10.442193,36.116005,12,2015,4.5,1,12,2,17.07,"RDT",0.33,27.45,850.52,0.57,62.52,0,"R",841.18656355476,8844.01368952245
216,-10.519176,36.157693,12,2015,4.83,1.17,16,7,44.5,"RDT",0.26,27.25,822.29,0.37,63.21,0,"U",845.669966048753,8835.44437787891
217,-10.543561,35.838112,12,2015,4.33,1.33,11,2,18.41,"RDT",0.32,25.82,962.27,0.65,63.97,0,"R",810.632826450888,8833.07985529045
218,-10.520284,35.691752,12,2015,4.17,1.17,8,2,25.43,"RDT",0.32,25.87,915.89,0.28,64.86,0,"R",794.624410059418,8835.79786295374
223,-8.029692,35.30082,12,2015,4.67,1.17,10,0,0,"RDT",0.27,21.73,952.05,0.14,49.87,0,"R",753.596062186368,9111.70810593478
226,-8.749135,35.225801,12,2015,4,0.67,7,0,0,"RDT",0.37,20.11,1238.13,0.23,49.22,0,"R",744.872022207526,9032.15881860446
227,-8.588167,35.151123,12,2015,4.92,0.58,11,0,0,"RDT",0.25,20.17,1325.22,7.42,48.45,0,"U",736.753349213199,9050.01451633297
228,-8.685917,34.927271,12,2015,4.67,1.42,12,0,0,"RDT",0.27,22.96,926.54,0.94,49.94,0,"R",712.052019327081,9039.33292614433
229,-8.297536,35.021865,12,2015,4.92,0.5,12,0,0,"RDT",0.31,23.63,963.82,0.21,51.81,0,"R",722.687946556937,9082.24164065673
230,-8.248201,35.460093,12,2015,4.83,1,18,0,0,"RDT",0.34,20.26,1229.23,0.11,47.17,0,"R",771.014149918096,9087.42790029537
231,-8.342775,35.818185,12,2015,3.58,2.5,3,0,0,"RDT",0.39,19.68,1266.89,0.66,52.03,0,"R",810.417497581924,9076.6991704433
232,-7.747101,35.711098,9,2015,4.83,0.67,11,0,0,"RDT",0.22,25.53,677.25,41.41,52.1,13.74,"U",799.050299699682,9142.70608117205
233,-7.785327,35.700875,9,2015,4.75,0.75,6,0,0,"RDT",0.35,25.53,677.25,17.92,39.11,15.15,"U",797.894861056946,9138.4828163517
234,-7.752693,35.687136,9,2015,4.92,0.5,24,0,0,"RDT",0.3,25.53,677.25,8.01,39.11,17.38,"U",796.401341454963,9142.10403351798
240,-8.291186,35.306461,9,2015,4.08,0.83,7,0,0,"RDT",0.23,20.86,996.52,19.32,48.6,9.88,"U",754.052730065483,9082.77317205467
241,-8.046694,33.219542,11,2015,4.83,0.58,15,0,0,"RDT",0.29,27.55,972.14,0.72,57.23,0,"R",524.190646464455,9110.53356147544
242,-8.445961,33.008562,11,2015,4.5,0.58,11,0,0,"RDT",0.28,31.78,683.95,20.6,59.88,0.96,"U",500.942471707688,9066.39991912603
243,-8.227237,33.264655,11,2015,4.25,0.58,13,0,0,"RDT",0.3,27.92,831.34,0.27,57.2,0,"R",529.148488693851,9090.57097418013
244,-8.99186,33.452672,11,2015,3.42,0.67,10,0,0,"RDT",0.31,24.3,993.55,1.19,48.96,0,"R",549.756591813116,9006.0170375292
245,-8.797746,33.503419,11,2015,4.75,0.5,12,0,0,"RDT",0.33,25.92,1070.73,0.85,50.02,0,"R",555.363864690359,9027.47113879723
246,-9.473875,33.890297,11,2015,4.58,0.5,14,0,0,"RDT",0.39,26.7,1320.47,3.8,54.37,0,"R",597.729163544305,8952.63185504721
247,-9.607482,33.862968,11,2015,4.58,0.92,7,0,0,"RDT",0.44,28.54,1533.19,13.77,55.94,3.59,"U",594.692117766616,8937.86615417153
248,-9.329726,33.895632,11,2015,4.58,1.33,7,2,28.92,"RDT",0.37,25.75,1291.69,0.58,52.48,0,"R",598.355543570413,8968.56927436869
249,-9.188313,33.515829,12,2015,4,1.33,12,0,0,"RDT",0.4,23.14,1520.8,1.1,47.38,0,"R",556.667927846999,8984.28762214099
250,-9.522775,33.523967,10,2015,4.83,1.33,7,0,0,"RDT",0.38,23.72,1509.15,1.22,53.13,0,"R",557.507000350927,8947.3069390567
251,-8.892716,32.725995,10,2015,4.92,0.5,20,0,0,"RDT",0.23,27.87,1130.16,1.81,56.74,0,"R",469.874086947417,9016.99767275307
252,-8.933396,33.082291,10,2015,4.58,0.58,14,0,0,"RDT",0.29,27.81,1051.03,0.67,51.34,0,"R",509.046583256296,9012.51035323308
253,-9.223772,32.873811,9,2015,4,0.83,10,0,0,"RDT",0.26,29.08,1013.29,1.47,54.06,0,"R",486.13868191685,8980.40561626015
254,-9.127607,32.941136,9,2015,4.92,0.83,10,0,0,"RDT",0.28,26,1206.24,6.87,53.91,2.08,"U",493.532305283875,8991.03937244998
255,-8.771441,33.810699,12,2015,4.92,0.5,15,0,0,"RDT",0.24,29.24,822.66,1.09,52.01,0,"R",589.16524193831,9030.32031360261
256,-8.8923,33.456683,9,2015,4.25,0.67,4,0,0,"RDT",0.16,23.06,893.5,56.15,48.6,23.24,"U",550.211117523523,9017.02386738993
257,-8.912017,33.489798,9,2015,4.83,0.5,9,0,0,"RDT",0.2,24.08,893.5,74.17,48.6,14.83,"U",553.84922464814,9014.83929722618
258,-8.905013,33.460376,9,2015,3.58,0.83,6,0,0,"RDT",0.12,24.47,893.5,141.06,48.6,21.16,"U",550.615414658868,9015.61781541267
259,-8.562752,32.396496,10,2015,4.67,0.5,18,0,0,"RDT",0.3,30.61,833.5,0.22,57.69,0,"R",433.587554711685,9053.43610047928
260,-9.253999,32.843002,10,2015,4.58,1,6,0,0,"RDT",0.2,29.37,949.74,17.14,54,0.06,"U",482.755908879296,8977.06240703725
262,-4.116973,34.334237,12,2015,4.58,0.58,11,0,0,"RDT",0.27,28.15,760.24,0.78,54.55,0,"R",648.099953962346,9544.81911235793
263,-4.388628,34.40247,12,2015,4.58,0.75,16,0,0,"RDT",0.22,28.58,734.04,0.38,50.2,0,"R",655.62073607133,9514.76946408312
273,-4.78944,34.761954,12,2015,4.92,0.5,17,0,0,"RDT",0.09,26.93,600.01,2.06,44.14,7.75,"U",695.411907991356,9470.35968117894
274,-4.822108,34.737328,12,2015,3.17,0.75,3,0,0,"RDT",0.25,26.44,612.35,21.13,44.88,18.2,"U",692.670710520224,9466.75395065352
290,-5.402389,33.67882,12,2015,4.92,0.42,30,4,14.03,"RDT",0.32,29.72,993.16,0.36,61.47,0,"R",575.204115072935,9402.81401125164
291,-4.940445,32.633785,12,2015,4.83,0.67,20,2,10.35,"RDT",0.33,30.42,1095.16,0.49,67.12,0,"R",459.399555758567,9453.90764181781
296,-6.260185,33.86394,12,2015,4.92,0.5,37,5,14.11,"RDT",0.25,28.6,778.41,0.32,63.85,0,"R",595.56899912552,9307.95530580175
297,-5.007246,32.820253,12,2015,4.08,1.25,5,0,0,"RDT",0.25,29.97,968.91,58.94,52.61,17.08,"U",480.074450491357,9446.53201322931
298,-5.069385,32.805101,12,2015,4.08,0.5,13,0,0,"RDT",0.31,30.54,1036.59,0.71,69.02,2.63,"U",478.39684697521,9439.66273602888
299,-4.937137,32.745899,12,2015,4.67,0.58,16,1,6.51,"RDT",0.3,30.2,1065.87,1.35,67.2,0,"R",471.82903899909,9454.2791006522
302,-8.180952,31.498729,9,2015,4.92,0.5,23,0,0,"RDT",0.28,24.9,1205.12,0.62,51.55,0,"R",334.616643725057,9095.38916333346
303,-8.539429,31.906491,11,2015,4.75,0.42,18,0,0,"RDT",0.28,27.83,1096.47,0.26,55.56,0,"R",379.65287066203,9055.89609782652
304,-8.790064,31.754375,11,2015,4.83,0.75,18,0,0,"RDT",0.26,26.49,1138.82,0.29,57.77,0,"R",363.000010533756,9028.13003143358
305,-8.381169,31.596398,9,2015,4,0.58,25,0,0,"RDT",0.28,24.56,1133.13,0.41,54.69,0,"R",345.45636722927,9073.2869761101
306,-7.854325,31.819244,11,2015,4.67,0.92,23,0,0,"RDT",0.36,28.92,917.34,1.69,57.99,0,"R",369.826946981678,9131.62337326342
307,-8.22945,31.866744,10,2015,4.92,0.58,22,0,0,"RDT",0.3,24.67,1039.75,1.4,55.06,0,"R",375.179072239948,9090.1592451219
308,-8.059425,31.818424,10,2015,4.75,0.75,21,0,0,"RDT",0.26,24.18,1038.51,0.57,56.59,0,"R",369.80128381708,9108.94437434409
309,-8.317869,32.374572,11,2015,4.75,1,15,0,0,"RDT",0.27,30.82,759.22,0.49,57.77,0,"R",431.131462667258,9080.50658792071
310,-8.37629,32.048961,10,2015,4.75,0.42,19,0,0,"RDT",0.35,30.03,1104.88,0.25,54.63,0,"R",395.289984180144,9073.97571990389
311,-8.564428,32.056434,10,2015,3.25,1.42,8,0,0,"RDT",0.28,27.32,955.09,1.72,56.03,0,"U",396.163303770544,9053.17555201899
312,-7.331398,31.0602,11,2015,4.42,0.92,9,0,0,"RDT",0.31,26.19,994.07,0.26,61.97,0,"R",285.861966980843,9189.15327087637
313,-7.633326,31.020757,11,2015,4.75,0.67,15,0,0,"RDT",0.31,24.75,975.08,0.19,59.89,0,"R",281.656406598073,9155.73707516247
314,-8.16845,30.950238,11,2015,3.92,0.5,13,4,32.67,"RDT",0.34,26.71,1231.67,1.52,56.25,0,"R",274.165039192464,9096.50551344976
315,-7.474073,30.607437,11,2015,4.17,0.75,9,3,34.67,"RDT",0.32,29.37,807.01,0.92,64.72,0,"R",235.939991703908,9173.12599607395
316,-7.517651,31.024607,11,2015,4.75,0.5,21,3,14.92,"RDT",0.3,25.84,933.96,1.22,61.77,0,"U",282.023109484714,9168.53420745125
317,-7.953851,31.603034,9,2015,4.75,0.58,8,0,0,"RDT",0.28,24.81,1007.21,43.75,53.4,11.16,"U",346.023448714117,9120.54420300657
318,-7.963247,31.620489,9,2015,3.17,0.83,7,0,0,"RDT",0.26,24.81,952.1,49.41,55.46,10.99,"U",347.951202489832,9119.51162412638
319,-7.977008,31.643558,9,2015,4.92,0.58,22,0,0,"RDT",0.24,24.58,952.1,15.9,55.46,5.71,"U",350.499312544498,9117.99832714409
320,-8.020034,31.685501,9,2015,4.92,0.92,18,0,0,"RDT",0.26,24.48,987.47,1.39,55.44,0,"R",355.138062779762,9113.25548318472
321,-7.97246,31.449262,9,2015,4.92,0.75,19,0,0,"RDT",0.34,25.01,1144.95,1.72,57.28,0,"R",329.078282480242,9118.42586562031
322,-7.971038,31.619437,9,2015,4.92,1.33,12,0,0,"RDT",0.25,24.81,952.1,23.19,55.46,9.35,"U",347.8381079368,9118.64968922626
323,-3.594983,30.72088,11,2015,4.67,1.08,10,0,0,"RDT",0.3,26.76,1145.23,17.88,71.29,4.44,"U",246.82002332304,9602.32526201849
324,-3.713443,30.564743,11,2015,4.83,1.17,15,9,61.04,"RDT",0.3,27.24,1325.85,1.11,69.34,0,"R",229.500696059228,9589.17472421614
325,-3.813695,30.487883,12,2015,4.75,0.5,16,5,32.63,"RDT",0.33,26.77,1416.25,0.72,70.07,0,"R",220.989934538132,9578.05884507215
326,-3.632287,30.624211,11,2015,4.58,0.83,16,11,71.1,"RDT",0.31,26.66,1250.67,1.58,69.96,0,"R",236.086146982282,9598.17095857379
327,-4.309203,30.187233,9,2015,4.83,0.67,19,1,5.45,"RDT",0.29,27.11,1417.64,1.08,65.69,0,"R",187.763497227604,9523.11835750976
328,-4.81963,30.336719,9,2015,4.92,0.5,36,17,49.31,"RDT",0.35,27.42,1270.88,0.21,62.91,0,"R",204.578796631337,9466.69627991825
329,-4.493844,29.752603,11,2015,4.83,1,16,0,0,"RDT",0.43,24.44,1694.98,2.81,60.75,0,"R",139.55756130243,9502.48402014246
330,-4.796144,29.71796,10,2015,4.83,0.58,12,9,78.11,"RDT",0.34,28.08,1272.37,1.47,57.35,0,"R",135.863657198131,9468.99683997201
331,-4.884782,29.661311,9,2015,4.67,0.83,8,0,0,"RDT",0.28,27.23,1097.55,71.24,52.33,11.45,"U",129.619857985104,9459.15201584657
332,-4.906193,29.673511,9,2015,4.67,0.58,29,1,3.59,"RDT",0.23,24.79,1176.37,100.34,52.33,8.76,"U",130.986547248494,9456.78803974114
333,-4.892419,29.651109,9,2015,4.75,2.17,10,0,0,"RDT",0.22,27.23,1097.55,90.77,48.65,14.04,"U",128.491029623542,9458.30076649577
334,-6.015062,29.825212,10,2015,4.92,0.67,15,2,13.8,"RDT",0.37,28.25,1261.38,0.84,50.76,0,"R",148.480504754816,9334.10911321545
335,-5.089876,29.871753,10,2015,4.92,1,26,12,47.28,"RDT",0.35,27.1,1314.18,0.83,55.28,0,"R",153.097099062889,9436.56012542399
336,-5.026522,30.074706,10,2015,4.92,0.58,35,18,53.56,"RDT",0.36,26.9,1276.81,0.51,57.27,0,"R",175.591783787559,9443.67792356824
337,-5.181297,30.994416,10,2015,4.92,0.58,34,20,61.26,"RDT",0.3,27.48,968.89,0.77,65.75,0,"R",277.689576717403,9426.94386825962
338,-4.46377,29.944746,11,2015,4.58,0.58,17,2,12.25,"RDT",0.22,25.38,1582.11,3.2,59.88,0,"R",160.891208914579,9505.90510065353
339,-4.385316,29.826545,11,2015,4.83,0.5,22,11,52.22,"RDT",0.36,26.22,1757.56,8.82,61.82,0,"R",147.721584843445,9514.53477997706
340,-3.195455,30.868747,12,2015,4.83,0.83,18,1,5.7,"RDT",0.36,25.92,1043.92,1.32,66.74,0,"R",263.156519314598,9646.55690676985
341,-3.481601,30.681312,12,2015,4.5,0.67,7,5,74.78,"RDT",0.32,25.96,1148.35,1.89,68.58,0,"R",242.390822360855,9614.85704847265
342,-4.672216,30.137686,9,2015,4.83,0.5,27,5,19.34,"RDT",0.31,27.57,1340.77,2.3,60.01,0,"R",182.416202413002,9482.92169999186
343,-4.555658,30.119947,9,2015,4.92,0.58,20,0,0,"RDT",0.24,27.5,1334.3,29.79,61,4.35,"U",180.394148250498,9495.81384235273
344,-3.678012,33.416342,9,2015,4.92,0.5,12,0,0,"RDT",0.3,30.82,806.36,24.42,61.51,14.83,"U",546.234061499493,9593.45278523039
345,-3.664316,33.442678,9,2015,4.83,0.67,14,0,0,"RDT",0.29,31.66,798.81,19.88,61.51,9.79,"U",549.159434250509,9594.96530574407
346,-3.438095,33.431715,11,2015,4.92,0.5,29,2,7.2,"RDT",0.25,31.14,834.38,0.84,69.9,0,"R",547.953639537346,9619.9717898407
347,-3.607152,33.74943,11,2015,4.83,0.42,29,0,0,"RDT",0.21,31.85,738.27,0.84,66.82,0,"R",583.231057741402,9601.26178958217
348,-3.75021,33.7787,11,2015,4.92,0.5,32,2,6.53,"RDT",0.21,31.62,709.86,0.29,66.36,0,"R",586.468164160638,9585.44474257253
349,-3.742628,32.996122,11,2015,4.67,0.5,23,0,0,"RDT",0.24,30.52,771.45,0.62,69.55,0,"R",499.569389850794,9586.32125047751
350,-3.396045,32.943685,11,2015,4.83,0.5,27,3,11.6,"RDT",0.27,30.41,822.8,0.99,69.85,0,"R",493.744480367917,9624.63039643288
351,-3.806244,33.326668,11,2015,4.58,0.67,22,3,14.28,"RDT",0.26,31.56,868.12,1.66,67.55,0,"R",536.270521374311,9579.28260220758
352,-3.509063,33.125935,11,2015,4.92,0.5,36,1,2.9,"RDT",0.26,30.21,828.64,1,69.55,0,"R",513.987325774978,9612.13729794931
353,-3.240659,32.480338,10,2015,4.25,0.5,4,0,0,"RDT",0.29,28.62,947.07,3.83,67.02,8.55,"U",442.265689384559,9641.79117726782
354,-3.358258,32.423788,10,2015,4.83,0.42,32,10,32.87,"RDT",0.29,27.95,977.18,0.79,68.38,0,"R",435.990322325947,9628.78846782396
355,-3.657231,32.616021,10,2015,4.58,0.5,25,4,16.71,"RDT",0.23,29.88,795.61,0.97,68.72,0,"R",457.358865093426,9595.75146620283
356,-4.046877,32.644121,9,2015,4.67,0.58,26,14,56.08,"RDT",0.29,29.84,842.27,0.97,68.21,0,"R",460.497403670846,9552.68237865697
357,-4.011328,32.376701,9,2015,4.58,0.58,15,4,27.77,"RDT",0.28,29.6,851.65,1.23,67.82,0,"R",430.809842541024,9556.59413639575
358,-3.963731,32.065757,10,2015,4.92,0.5,27,10,38.68,"RDT",0.29,29.04,879.99,1.21,67.01,0,"R",396.28456973281,9561.82316401865
359,-4.177767,32.037323,10,2015,4.83,0.58,29,14,50.28,"RDT",0.3,29.35,972.35,0.56,65.88,0,"R",393.155889011616,9538.15761644603
360,-3.817051,32.57825,9,2015,3.33,0.5,11,0,0,"RDT",0.26,29.35,900.83,16.27,69.82,12.04,"U",453.172773022648,9578.08344144331
361,-3.874629,32.696922,9,2015,4.75,0.67,22,1,4.7,"RDT",0.23,29.95,830.25,0.88,69.5,8.15,"R",466.351421208208,9571.72451452234
362,-3.837532,32.618106,9,2015,4.42,0.5,10,0,0,"RDT",0.26,29.35,857.06,21.1,70.26,11.02,"U",457.599091409358,9575.8215901839
363,-3.879879,32.437191,9,2015,4.42,0.5,10,4,42.47,"RDT",0.3,29.29,805.01,0.64,68.68,0,"R",437.515023012274,9571.12945266645
367,-1.452448,31.786564,12,2015,4.92,0.58,16,0,0,"RDT",0.43,22.39,2229.14,4.29,59.82,0,"R",365.007899855276,9839.42427320747
368,-1.480893,31.414392,12,2015,4.58,0.75,15,11,76.27,"RDT",0.34,25.07,1312.08,1.03,58.57,0,"R",323.597425413337,9836.2533688754
372,-1.799074,31.532477,12,2015,4.58,0.58,15,0,0,"RDT",0.42,23.95,1406.47,6.6,61.8,0,"U",336.763455206039,9801.08197043154
373,-1.759844,31.552635,12,2015,4.92,0.5,12,0,0,"RDT",0.44,23.01,1406.47,4.37,61.22,0,"R",339.002763418354,9805.42128805556
379,-1.329993,31.821584,12,2015,4.42,0.75,12,0,0,"RDT",0.31,23.53,2082.17,60.76,58.86,12.47,"U",368.897597696981,9852.96425112032
380,-1.305566,31.794996,12,2015,4.5,0.58,10,1,10.56,"RDT",0.35,23.53,1825.03,2.59,55.63,10.51,"U",365.937860796505,9855.66335506984
385,-2.100635,33.100736,10,2015,4.67,0.67,17,1,6.09,"RDT",0.32,24.95,1284.06,7.82,74.21,2.77,"U",511.201917992022,9767.81531126239
386,-2.103719,32.883628,10,2015,4.75,0.58,14,3,22.32,"RDT",0.31,20.85,1430.75,6.7,71.63,0,"R",487.059370356344,9767.47431053817
387,-2.030341,33.079582,10,2015,4.92,0.5,30,13,45.25,"RDT",0.32,23.51,1510.33,3.86,71.51,0,"R",508.849964723798,9775.58515488827
388,-2.491431,33.161905,9,2015,4.92,0.5,22,6,28.48,"RDT",0.31,23.1,1182.83,2.62,74.79,0,"R",517.999080865614,9724.6191689981
389,-2.735441,33.613908,10,2015,4.83,0.5,24,3,13.05,"RDT",0.31,29.99,1155.2,2.69,64.43,0,"R",568.236579578441,9697.63182744574
390,-2.548339,32.925628,9,2015,4.92,0.5,16,0,0,"RDT",0.31,26.67,1168.34,7.91,71.58,13.89,"U",491.732385583365,9718.32986992979
391,-2.504623,32.901925,9,2015,4.92,0.83,13,1,7.89,"RDT",0.25,26.11,1329.15,100.56,61.58,0,"U",489.097058452127,9723.16172650339
392,-2.588495,33.006642,9,2015,4.17,0.42,22,5,24.37,"RDT",0.32,27.47,1109.23,2.75,72.9,0,"U",500.738339224158,9713.8915725382
393,-2.804934,33.436446,11,2015,4.67,0.5,26,2,8.03,"RDT",0.28,29.39,1099.71,2,66.41,0,"R",548.508186303974,9689.95898856419
394,-3.283265,33.028655,11,2015,4.67,0.5,33,3,9.49,"RDT",0.2,30.52,926.07,0.75,68.19,0,"R",503.183385366559,9637.09653639887
395,-2.963811,33.362471,11,2015,4.58,0.58,24,7,30.38,"RDT",0.27,30.34,1037.83,3.53,70.29,0,"U",540.280625597188,9672.40031296119
396,-2.544027,32.660677,11,2015,4.67,0.5,20,1,5.22,"RDT",0.33,25.7,1252.53,1.14,72.14,0,"R",462.278589959342,9718.80176548468
397,-2.472738,32.539562,11,2015,4.58,0.5,17,6,36.86,"RDT",0.38,23.45,1383.88,1.64,72.6,0,"R",448.811614059125,9726.67757757015
398,-2.253421,32.034141,11,2015,3.92,1.33,4,0,0,"RDT",0.56,22.19,1484.68,0.93,70.3,0,"R",392.60152675438,9750.89238802919
399,-2.163879,32.151948,11,2015,4.83,0.92,18,0,0,"RDT",0.28,21.46,1368.19,1.12,69.88,0,"R",405.696429698905,9760.79885985529
400,-2.489567,32.915538,9,2015,4.33,0.75,13,0,0,"RDT",0.29,26.11,1329.15,102.4,74.05,23.12,"U",490.610302165147,9724.8260057587
401,-2.49644,32.908949,9,2015,4.83,0.42,21,0,0,"RDT",0.18,26.11,1329.15,161.64,61.58,32.8,"U",489.87785048176,9724.06626862259
402,-2.474974,32.922839,9,2015,4.33,1.17,9,0,0,"RDT",0.27,26.11,1168.34,20.26,74.05,15.61,"U",491.4218657227,9726.43905229713
403,-2.67319,33.156241,10,2015,4.92,0.5,28,4,14.92,"RDT",0.28,29.1,1114.56,1.41,71.82,0,"R",517.36694051793,9704.52892976925
404,-2.95161,32.971528,10,2015,4.83,0.58,18,7,40.5,"RDT",0.29,29.9,1050.43,0.78,69.17,0,"R",496.83595406804,9673.75547365571
405,-1.261,34.369183,9,2015,4.58,0.5,23,11,49.95,"RDT",0.35,24.82,1418.49,1.62,63.77,0,"R",652.333719892479,9860.58132457774
406,-1.429925,34.762784,9,2015,4.67,0.67,20,1,5.17,"RDT",0.34,24.47,1316.99,2,58.42,0,"R",696.124162527777,9841.87468871704
407,-1.344074,34.407788,9,2015,4.83,0.92,15,0,0,"RDT",0.34,25.19,1488.31,3.09,65.03,1.3,"R",656.624594067875,9851.39402411685
408,-1.497471,34.5086,9,2015,4.83,0.5,36,3,8.7,"RDT",0.34,27.25,1175.55,2.37,64.18,7.28,"U",667.831959263634,9834.42633201403
409,-1.381592,34.576353,9,2015,4.83,0.92,23,0,0,"RDT",0.36,23.6,1397.72,2.46,62.33,0,"R",675.380219575106,9847.23409451944
410,-2.124253,34.66129,12,2015,4.42,1.08,13,1,7.85,"RDT",0.27,28.7,913.97,0.05,58.98,0,"R",684.759788697209,9765.10583161873
411,-1.627655,34.599284,12,2015,4.92,0.5,32,11,35.9,"RDT",0.3,27.79,1177.34,1.41,62.02,0,"R",677.912167468586,9820.02419022764
412,-1.80693,33.436277,11,2015,4.5,1,10,1,10.24,"RDT",0.28,22.16,1183.19,2.69,70.04,0,"R",548.523199971047,9800.27345381649
413,-1.702519,33.585981,10,2015,4.83,0.58,30,3,10.41,"RDT",0.28,26.48,1454.82,3.53,68.87,0,"R",565.17756410869,9811.81003784536
414,-2.051027,33.996688,11,2015,4.92,0.58,17,4,24.5,"RDT",0.26,28.7,1197.81,0.57,71.57,0,"R",610.841456831455,9773.26441271042
415,-2.02527,33.877947,11,2015,4.17,0.5,15,0,0,"RDT",0.31,27.62,1158.98,18.26,74.43,8.16,"U",597.636739625125,9776.11943978897
416,-2.09346,33.218919,11,2015,4.92,0.5,30,4,13.92,"RDT",0.33,23.75,1261.35,4.12,72.41,0,"R",524.344113099476,9768.60703704786
417,-2.010726,33.857268,11,2015,4.75,1,24,0,0,"RDT",0.31,27.2,1172.81,11.19,74.57,8.93,"R",595.337694769217,9777.72842038554
418,-1.504125,33.809676,10,2015,4.58,0.75,12,0,0,"RDT",0.22,25.43,886.56,81.81,53.66,14.25,"U",590.068844626651,9833.73190516662
419,-1.531703,33.796397,9,2015,4.83,0.75,22,0,0,"RDT",0.27,25.43,886.56,27.97,53.66,8.43,"U",588.590461716935,9830.68393353442
420,-1.497314,33.777449,10,2015,4.92,0.83,25,3,12.3,"RDT",0.25,25.43,886.56,30.58,63.68,10.39,"U",586.483935562145,9834.48610367057
421,-1.219,33.999455,11,2015,4.75,0.5,20,11,57.44,"RDT",0.31,27.76,1287.79,1.47,65.65,0,"R",611.194989154155,9865.24303594148
422,-1.217325,34.24502,11,2015,4.5,1.08,17,5,30.02,"RDT",0.34,25.23,1572.25,0.93,63.94,0,"R",638.519461041282,9865.41683133102
423,-1.460481,33.994683,11,2015,4.83,0.5,18,2,11.6,"RDT",0.41,26.87,1575.62,0.54,66.86,0,"R",610.653186856696,9838.54813420884
424,-1.799206,34.143533,10,2015,4.83,0.5,18,7,40.61,"RDT",0.21,26.33,1339.66,1.44,69.84,0,"R",627.192763505527,9801.09316600639
425,-1.713962,33.796311,10,2015,4.75,0.42,26,14,56.64,"RDT",0.3,27.53,1241.27,0.62,71.65,0,"R",588.572964113209,9810.53672323523
426,-3.946076,35.742724,9,2015,4.75,0.83,18,0,0,"RDT",0.31,30.09,657.46,0.27,49.13,0,"R",804.593822445049,9563.33112124921
427,-4.416477,35.668985,9,2015,4,0.67,11,0,0,"RDT",0.26,25.62,624.67,0.87,52.79,0,"R",796.221805506277,9511.30531214642
428,-4.272006,35.255059,9,2015,4.92,0.58,22,0,0,"RDT",0.2,24.24,693,0.36,43.45,0,"R",750.303422893608,9527.43913279803
429,-3.970333,35.762833,9,2015,4.92,0.92,12,0,0,"RDT",0.27,30.09,678.93,0.59,48.5,1.54,"R",806.819810737282,9560.63935901976
430,-4.400238,34.944249,11,2015,4.67,0.92,13,0,0,"RDT",0.23,27.96,598.14,0.95,43.86,0,"R",715.75398932298,9513.35096196448
431,-4.386591,35.417484,11,2015,4.25,0.67,16,0,0,"RDT",0.26,24.11,933.7,1.76,47.96,0,"R",768.301909659486,9514.70727053066
432,-4.473817,35.426367,11,2015,4.83,0.92,17,0,0,"RDT",0.44,20.43,582.37,0.62,48.85,0,"R",769.256778792346,9505.05380152248
433,-4.536651,35.384257,11,2015,4.17,0.5,14,0,0,"RDT",0.25,26.3,530.62,3.72,48.13,2.13,"U",764.558339463611,9498.11766301703
434,-3.928515,35.505395,12,2015,4.33,0.58,17,0,0,"RDT",0.48,19.46,1027.56,0.36,45.75,0,"R",778.225478460608,9565.35726758859
435,-3.736615,35.418004,12,2015,4.92,0.58,27,0,0,"RDT",0.22,25.32,650.49,0.18,47.32,0,"R",768.574731166086,9586.61639796902
436,-4.030431,35.319053,12,2015,4.83,0.67,15,0,0,"RDT",0.27,23.89,685.88,1.12,42.84,0,"R",757.488681890183,9554.14249461905
437,-3.880949,35.525408,12,2015,4.83,0.92,11,0,0,"RDT",0.32,22.76,994.09,2.63,45.24,0,"U",780.465170448372,9570.61338925097
440,-5.317887,36.508608,12,2015,4.83,0.83,19,0,0,"RDT",0.24,25.9,544.6,0.23,52.6,0,"R",888.991583163667,9411.09187521148
441,-5.48361,37.256766,12,2015,4.67,0.83,22,0,0,"RDT",0.29,25.54,660.84,0.11,47.62,0,"R",971.947469514432,9392.20011148488
442,-5.562217,36.49262,12,2015,4.92,0.5,18,0,0,"RDT",0.22,26.88,628.99,0.6,54.8,0,"R",887.060282296265,9384.0440089959
443,-5.525649,36.594775,12,2015,4.67,0.83,13,0,0,"RDT",0.26,28.08,656.76,0.28,51.89,0,"R",898.420402756338,9388.0260800279
